time,open,high,low,close,Volume,Volume MA
2022-01-01T14:45:00Z,46927.35,46973.89,46886.06,46929.43,1.99799267,9.221114342000263
2022-01-01T15:00:00Z,46917.47,47006.17,46880.56,46956.96,2.36309569,9.254190503000263
2022-01-01T15:15:00Z,46947.2,47032.53,46922.83,47009.95,0.91510097,8.091257230000263
2022-01-01T15:30:00Z,47033.47,47482.72,47008.13,47356.99,23.32962876,8.437334202000262
2022-01-01T15:45:00Z,47339.4,47404.37,47146.4,47225.91,4.05721721,5.484192013500262
2022-01-01T16:00:00Z,47281.24,47469.31,47200.56,47446.1,8.07477706,4.290935634000262
2022-01-01T16:15:00Z,47435.4,47548.99,47369.08,47530.88,9.44554769,4.527403520000262
2022-01-01T16:30:00Z,47511.54,47511.54,47407.83,47447.62,1.84576477,4.539957091500262
2022-01-01T16:45:00Z,47469.06,47475.82,47275.7,47280.62,2.49187302,4.200793599500262
2022-01-01T17:00:00Z,47299.12,47374.83,47260.18,47269.46,3.52079353,4.262615223000262
2022-01-01T17:15:00Z,47264.08,47363.07,47259.71,47363.07,7.66237198,4.564485934000262
2022-01-01T17:30:00Z,47349.58,47920.66,47349.58,47920.66,30.4382833,5.960630130500262
2022-01-01T17:45:00Z,47886.13,47960.98,47687.75,47777.11,8.606507,6.330578469000263
2022-01-01T18:00:00Z,47810.18,47853.95,47706,47757.57,7.54816315,6.535204748000263
2022-01-01T18:15:00Z,47762.61,47783.1,47620.03,47662.62,2.23226338,6.430552270500263
2022-01-01T18:30:00Z,47653.59,47662.96,47443.72,47483.56,7.48747088,6.6014778325002625
2022-01-01T18:45:00Z,47493.49,47648.28,47440.47,47587.72,4.24531752,6.745530189500263
2022-01-01T19:00:00Z,47609.27,47640.11,47507.38,47521.62,2.46269855,6.760520345500264
2022-01-01T19:15:00Z,47527.48,47535.94,47360,47378.28,3.87913237,6.889205375000264
2022-01-01T19:30:00Z,47401.74,47423.18,47305.95,47347.42,2.43443823,6.7519218865002655
2022-01-01T19:45:00Z,47345.26,47369.77,47301,47350.03,1.5052119,6.727282848000266
2022-01-01T20:00:00Z,47350.03,47374.53,47315.52,47344.98,0.92523972,6.655390049500267
2022-01-01T20:15:00Z,47318.32,47454.96,47260,47443.89,4.07759871,6.813514936500266
2022-01-01T20:30:00Z,47435.8,47581.25,47417.96,47434.01,6.3441686,5.964241928500266
2022-01-01T20:45:00Z,47429.42,47490.87,47381.04,47426.66,4.46058932,5.984410534000267
2022-01-01T21:00:00Z,47443.87,47555.32,47393.69,47555.32,4.98872308,5.830107835000266
2022-01-01T21:15:00Z,47537.29,47558,47366.65,47377.62,1.07007333,5.4113341170002665
2022-01-01T21:30:00Z,47390.94,47503.31,47361.48,47487.73,5.11336377,5.574714067000267
2022-01-01T21:45:00Z,47460.29,47493.82,47285.01,47309.72,3.12472205,5.606356518500267
2022-01-01T22:00:00Z,47342.13,47387.67,47229.86,47303,4.8689352,5.673763602000266
2022-01-01T22:15:00Z,47266.09,47444.1,47266.09,47419.44,10.51001457,5.816145731500265
2022-01-01T22:30:00Z,47419.44,47494.31,47384.53,47470.99,1.46147348,4.367305240500266
2022-01-01T22:45:00Z,47477.59,47513.79,47414.31,47444.72,2.74666385,4.074313083000265
2022-01-01T23:00:00Z,47473.26,47473.26,47289.15,47348.27,1.45944496,3.769877173500266
2022-01-01T23:15:00Z,47368.9,47498.23,47356.12,47467.41,2.45823244,3.7811756265002656
2022-01-01T23:30:00Z,47434.98,47612.81,47379.99,47515.26,7.89455201,3.8015296830002656
2022-01-01T23:45:00Z,47517.1,47833.48,47517.1,47777.42,10.33228218,4.105877916000265
2022-01-02T00:00:00Z,47745.25,47784.94,47480.72,47514.67,3.51169587,4.158327782000265
2022-01-02T00:15:00Z,47525.55,47565.7,47386.91,47540.36,7.64255717,4.346499022000266
2022-01-02T00:30:00Z,47536.67,47716.3,47510.62,47655.98,5.70967234,4.510260727500266
2022-01-02T00:45:00Z,47645.72,47687.42,47617.76,47638.65,5.07002201,4.688501233000266
2022-01-02T01:00:00Z,47657.8,47657.91,47461.39,47462.02,4.3912516,4.861801827000266
2022-01-02T01:15:00Z,47454.79,47517.66,47434.17,47469.15,1.64340182,4.740091982500266
2022-01-02T01:30:00Z,47459.56,47486.24,47335.15,47405.61,1.50554226,4.498160665500266
